orders_id,item_price,quantity,item_category,item_name,created_date,created_at,delivery_address1,delivery_address2,delivery_city,delivery_zipcode,delivery
16,2,8,Beverage,"Sparkling Water 33cl",2023-01-01,11:36:00,"7530 Elka Place",,Brooklyn,0005B,1
17,12,3,Pizza,"Pizza Margherita Regular",2023-01-01,11:36:00,"7530 Elka Place",,Brooklyn,0005B,1
18,5,7,Side,Breadsticks,2023-01-01,22:20:10,"7530 Elka Place",,Brooklyn,0005B,0
19,7,10,Side,"Caesar Salad",2023-01-01,22:20:10,"7530 Elka Place",,Brooklyn,0005B,0
20,5,1,Dessert,"Chocolate Brownie",2023-01-01,18:49:00,"30096 School Center",,Manhattan,0001M,1
21,17,8,Pizza,"Pizza Pepperoni Large",2023-01-01,10:30:20,"88 Hanover Drive",,Bronx,0004B,1
22,6,9,Dessert,"Pistachio Ice Crearn",2023-01-01,10:30:20,"88 Hanover Drive",,Bronx,0004B,1
23,6,5,Dessert,"Chocolate Ice Cream",2023-01-01,21:56:27,"038 Loftsgordon Way",,Queens,0007Q,0
24,18,5,Pizza,"Pizza Napolitana Large",2023-01-01,21:56:27,"038 Loftsgordon Way",,Queens,0007Q,0
25,17,7,Pizza,"Pizza Seafood Regular",2023-01-01,22:32:33,"178 Morning Place","Apt 1530",Bronx,0004B,0
26,16,3,Pizza,"Pizza Quattro Formaggi Regular",2023-01-01,22:32:33,"178 Morning Place","Apt 1530",Bronx,0004B,0
27,3,3,Beverage,"7 Up 33cl",2023-01-01,22:32:33,"178 Morning Place","Apt 1530",Bronx,0004B,0
28,12,9,Pizza,"Pizza Margherita Regular",2023-01-01,22:32:33,"178 Morning Place","Apt 1530",Bronx,0004B,0
29,17,10,Pizza,"Pizza Hawaiian Large",2023-01-02,22:32:33,"178 Morning Place","Apt 1530",Bronx,0004B,0
30,2,10,Beverage,"Sparkling Water 33cl",2023-01-02,11:51:25,"8 Kropf Crossing",,Manhattan,0001M,1
31,14,5,Pizza,"Pizza Margherita Large",2023-01-02,11:51:25,"8 Kropf Crossing",,Manhattan,0001M,1
32,17,6,Pizza,"Pizza Pepperoni Large",2023-01-02,11:51:25,"8 Kropf Crossing",,Manhattan,0001M,1
33,18,5,Pizza,"Pizza Parmigiana Large",2023-01-02,11:51:25,"8 Kropf Crossing",,Manhattan,0001M,1
34,5,1,Dessert,"Chocolate Brownie",2023-01-02,22:54:55,"95505 Oakridge Alley",,Brooklyn,0005B,1
35,6,4,Dessert,"Vanilla Ice Cream",2023-01-02,22:54:55,"95505 Oakridge Alley",,Brooklyn,0005B,1
36,3,3,Beverage,"Coca Cola 33cl",2023-01-02,22:54:55,"95505 Oakridge Alley",,Brooklyn,0005B,1
37,7,8,Side,"Chicken Wings",2023-01-02,22:35:32,"1 Almo Road",,Brooklyn,0005B,0
38,15,6,Pizza,"Pizza Parmigiana Regular",2023-01-02,22:35:32,"1 Almo Road",,Brooklyn,0005B,0
39,17,10,Pizza,"Pizza Hawaiian Large",2023-01-02,22:35:32,"1 Almo Road",,Brooklyn,0005B,0
40,19,1,Pizza,"Pizza Diavola Large",2023-01-02,19:57:59,"35722 Russell Street",,"Staten Island",0010SI,1
41,16,5,Pizza,"Pizza Diavola Regular",2023-01-02,19:57:59,"35722 Russell Street",,"Staten Island",0010SI,1
42,16,1,Pizza,"Pizza Diavola Regular",2023-01-03,19:57:59,"35722 Russell Street",,"Staten Island",0010SI,1
43,18,1,Pizza,"Pizza Parmigiana Large",2023-01-03,19:57:59,"35722 Russell Street",,"Staten Island",0010SI,1
44,6,10,Side,"Garlic Bread",2023-01-03,13:28:00,"86 Jay Alley",,Queens,0007Q,1
45,20,8,Pizza,"Pizza Seafood Large",2023-01-03,13:28:00,"86 Jay Alley",,Queens,0007Q,1
46,17,3,Pizza,"Pizza Pepperoni Large",2023-01-03,11:29:45,"5267 Melvin Pass",,Brooklyn,0005B,0
47,12,4,Pizza,"Pizza Margherita Regular",2023-01-03,11:29:45,"5267 Melvin Pass",,Brooklyn,0005B,0
48,17,3,Pizza,"Pizza Hawaiian Large",2023-01-03,11:29:45,"5267 Melvin Pass",,Brooklyn,0005B,0
49,16,7,Pizza,"Pizza Diavola Regular",2023-01-03,13:11:53,"473 Colorado Junction",,"Staten Island",0010SI,1
50,3,5,Beverage,"Coca Cola 33cl",2023-01-03,22:37:05,"13378 Hoepker Point",,Brooklyn,0005B,1
51,2,3,Beverage,"Sparkling Water 33cl",2023-01-03,22:37:05,"13378 Hoepker Point",,Brooklyn,0005B,1
52,6,3,Dessert,"Strawberry Ice Cream",2023-01-03,22:41:24,"79992 Bultman Pass",,Queens,0007Q,0
53,6,5,Beverage,"7 Up 1.5l",2023-01-03,22:41:24,"79992 Bultman Pass",,Queens,0007Q,0
54,18,10,Pizza,"Pizza Napolitana Large",2023-01-03,22:41:24,"79992 Bultman Pass",,Queens,0007Q,0
55,6,8,Dessert,"Strawberry Ice Cream",2023-01-03,22:41:24,"79992 Bultman Pass",,Queens,0007Q,0
56,16,10,Pizza,"Pizza Napolitana Regular",2023-01-03,22:41:24,"79992 Bultman Pass",,Queens,0007Q,0
57,17,9,Pizza,"Pizza Hawaiian Large",2023-01-03,22:41:24,"79992 Bultman Pass",,Queens,0007Q,0
58,6,1,Beverage,"Coca Cola 1.5l",2023-01-03,20:54:31,"5170 Armistice Hill","Room 589","Staten Island",0010SI,0
59,7,3,Side,"Chicken Wings",2023-01-04,21:17:49,"6241 Artisan Center","Apt 424",Queens,0007Q,0
60,3,10,Beverage,"Diet Coke 33cl",2023-01-04,21:17:49,"6241 Artisan Center","Apt 424",Queens,0007Q,0
61,4,7,Beverage,"Sparkling Water 1.5l",2023-01-04,21:17:49,"6241 Artisan Center","Apt 424",Queens,0007Q,0
62,3,3,Beverage,"Diet Coke 33cl",2023-01-04,21:17:49,"6241 Artisan Center","Apt 424",Queens,0007Q,0
63,14,2,Pizza,"Pizza Margherita Large",2023-01-04,22:50:26,"71388 Ridgeview Point",,Brooklyn,0005B,1
64,19,5,Pizza,"Pizza Diavola Large",2023-01-04,22:50:26,"71388 Ridgeview Point",,Brooklyn,0005B,1
65,6,8,Dessert,"Chocolate Ice Cream",2023-01-04,11:00:04,"79992 Bultman Pass",,Queens,0007Q,1
66,4,9,Beverage,"Sparkling Water 1.5l",2023-01-04,11:00:04,"79992 Bultman Pass",,Queens,0007Q,1
67,7,3,Dessert,"Banoffee Pie",2023-01-04,20:25:04,"038 Loftsgordon Way",,Queens,0007Q,0
68,14,6,Pizza,"Pizza Margherita Large",2023-01-04,20:25:04,"038 Loftsgordon Way",,Queens,0007Q,0
69,4,6,Beverage,"Sparkling Water 1.5l",2023-01-04,20:25:04,"038 Loftsgordon Way",,Queens,0007Q,0
70,19,8,Pizza,"Pizza Diavola Large",2023-01-04,21:08:49,"67019 Mendota Crossing",,Brooklyn,0005B,1
71,15,1,Pizza,"Pizza Pepperoni Regular",2023-01-04,21:08:49,"67019 Mendota Crossing",,Brooklyn,0005B,1
72,18,3,Pizza,"Pizza Napolitana Large",2023-01-04,21:08:49,"67019 Mendota Crossing",,Brooklyn,0005B,1
73,17,8,Pizza,"Pizza Pepperoni Large",2023-01-04,21:08:49,"67019 Mendota Crossing",,Brooklyn,0005B,1
74,7,1,Dessert,"Banoffee Pie",2023-01-04,21:08:49,"67019 Mendota Crossing",,Brooklyn,0005B,1
75,2,1,Beverage,"Sparkling Water 33cl",2023-01-04,21:08:49,"67019 Mendota Crossing",,Brooklyn,0005B,1
76,6,7,Beverage,"Fanta 1.5l",2023-01-04,12:50:07,"83 Oriole Road","Room 1567",Queens,0007Q,1
77,19,3,Pizza,"Pizza Quattro Formaggi Large",2023-01-04,12:50:07,"83 Oriole Road","Room 1567",Queens,0007Q,1
78,16,9,Pizza,"Pizza Diavola Regular",2023-01-04,12:50:07,"83 Oriole Road","Room 1567",Queens,0007Q,1
79,2,6,Beverage,"Sparkling Water 33cl",2023-01-04,12:50:07,"83 Oriole Road","Room 1567",Queens,0007Q,1
80,16,9,Pizza,"Pizza Napolitana Regular",2023-01-04,19:41:45,"43 Red Cloud Crossing",,"Staten Island",0010SI,0
81,5,8,Side,Breadsticks,2023-01-04,12:18:45,"9 Duke Way",,Queens,0007Q,0
82,5,9,Dessert,"Fruit salad",2023-01-04,13:30:51,"0970 Valley Edge Circle","17th Floor",Queens,0007Q,1
83,5,1,Dessert,"Chocolate Brownie",2023-01-04,13:30:51,"0970 Valley Edge Circle","17th Floor",Queens,0007Q,1
84,3,10,Beverage,"Diet Coke 33cl",2023-01-05,13:30:51,"0970 Valley Edge Circle","17th Floor",Queens,0007Q,1
85,5,8,Dessert,"Fruit salad",2023-01-05,12:26:50,"5093 Westridge Way",,Brooklyn,0005B,0
86,3,6,Beverage,"7 Up 33cl",2023-01-05,12:26:50,"5093 Westridge Way",,Brooklyn,0005B,0
87,20,4,Pizza,"Pizza Seafood Large",2023-01-05,12:26:50,"5093 Westridge Way",,Brooklyn,0005B,0
88,2,10,Beverage,"Sparkling Water 33cl",2023-01-05,21:36:01,"0566 Bashford Street","Apt 1112",Brooklyn,0005B,1
89,20,6,Pizza,"Pizza Seafood Large",2023-01-05,21:36:01,"0566 Bashford Street","Apt 1112",Brooklyn,0005B,1
90,17,4,Pizza,"Pizza Seafood Regular",2023-01-05,20:43:26,"5415 Spohn Junction",,Queens,0007Q,1
91,6,6,Beverage,"Coca Cola 1.5l",2023-01-05,22:17:09,"4458 Twin Pines Crossing","PO Box 93258",Brooklyn,0005B,0
92,2,5,Beverage,"Sparkling Water 33cl",2023-01-05,22:17:09,"4458 Twin Pines Crossing","PO Box 93258",Brooklyn,0005B,0
93,6,4,Beverage,"Coca Cola 1.5l",2023-01-05,22:17:09,"4458 Twin Pines Crossing","PO Box 93258",Brooklyn,0005B,0
94,3,3,Beverage,"7 Up 33cl",2023-01-05,22:17:09,"4458 Twin Pines Crossing","PO Box 93258",Brooklyn,0005B,0
95,19,6,Pizza,"Pizza Quattro Formaggi Large",2023-01-05,22:44:07,"13 Fulton Avenue","Room 1496",Manhattan,0001M,1
96,14,5,Pizza,"Pizza Margherita Large",2023-01-05,22:44:07,"13 Fulton Avenue","Room 1496",Manhattan,0001M,1
97,20,7,Pizza,"Pizza Seafood Large",2023-01-05,18:40:24,"73 Longview Point",,Bronx,0004B,1
98,15,6,Pizza,"Pizza Hawaiian Regular",2023-01-05,18:40:24,"73 Longview Point",,Bronx,0004B,1
99,6,9,Dessert,"Vanilla Ice Cream",2023-01-05,13:14:26,"693 Bellgrove Crossing",,Brooklyn,0005B,0
100,4,7,Beverage,"Sparkling Water 1.5l",2023-01-05,13:14:26,"693 Bellgrove Crossing",,Brooklyn,0005B,0
101,6,3,Beverage,"Diet Coke 1.5l",2023-01-05,13:14:26,"693 Bellgrove Crossing",,Brooklyn,0005B,0
102,18,2,Pizza,"Pizza Napolitana Large",2023-01-05,22:15:01,"13 Fulton Avenue","Room 1496",Manhattan,0001M,0
103,19,9,Pizza,"Pizza Quattro Formaggi Large",2023-01-05,22:15:01,"13 Fulton Avenue","Room 1496",Manhattan,0001M,0
104,18,2,Pizza,"Pizza Parmigiana Large",2023-01-05,22:15:01,"13 Fulton Avenue","Room 1496",Manhattan,0001M,0
105,3,6,Beverage,"Coca Cola 33cl",2023-01-05,13:26:39,"226 Scott Center",,Brooklyn,0005B,1
106,7,10,Side,"Caesar Salad",2023-01-05,13:26:39,"226 Scott Center",,Brooklyn,0005B,1
107,14,5,Pizza,"Pizza Margherita Large",2023-01-05,22:39:53,"30 Fremont Pass",,Queens,0007Q,1
108,7,8,Side,"Caesar Salad",2023-01-05,21:36:37,"406 Kropf Circle",,"Staten Island",0010SI,0
109,16,2,Pizza,"Pizza Napolitana Regular",2023-01-05,21:36:37,"406 Kropf Circle",,"Staten Island",0010SI,0
110,6,2,Beverage,"7 Up 1.5l",2023-01-05,21:36:37,"406 Kropf Circle",,"Staten Island",0010SI,0
111,16,2,Pizza,"Pizza Diavola Regular",2023-01-05,21:36:37,"406 Kropf Circle",,"Staten Island",0010SI,0
112,14,4,Pizza,"Pizza Margherita Large",2023-01-05,21:36:37,"406 Kropf Circle",,"Staten Island",0010SI,0
113,19,4,Pizza,"Pizza Quattro Formaggi Large",2023-01-05,21:36:37,"406 Kropf Circle",,"Staten Island",0010SI,0
114,17,4,Pizza,"Pizza Pepperoni Large",2023-01-05,21:34:40,"4 Maple Wood Street",,Manhattan,0001M,1
115,17,4,Pizza,"Pizza Seafood Regular",2023-01-05,21:34:40,"4 Maple Wood Street",,Manhattan,0001M,1
116,16,6,Pizza,"Pizza Napolitana Regular",2023-01-05,21:34:40,"4 Maple Wood Street",,Manhattan,0001M,1
117,16,4,Pizza,"Pizza Napolitana Regular",2023-01-05,21:34:40,"4 Maple Wood Street",,Manhattan,0001M,1
118,5,4,Dessert,"Fruit salad",2023-01-05,21:34:40,"4 Maple Wood Street",,Manhattan,0001M,1
119,2,9,Beverage,"Sparkling Water 33cl",2023-01-05,11:42:47,"13654 Sutherland Plaza","Suite 38",Bronx,0004B,0
120,17,8,Pizza,"Pizza Seafood Regular",2023-01-05,19:16:58,"7407 Service Court",,Manhattan,0001M,1
121,3,8,Beverage,"7 Up 33cl",2023-01-05,19:16:58,"7407 Service Court",,Manhattan,0001M,1
122,4,2,Beverage,"Sparkling Water 1.5l",2023-01-05,13:05:50,"176 Evergreen Junction",,Brooklyn,0005B,1
123,3,4,Beverage,"Coca Cola 33cl",2023-01-05,13:05:50,"176 Evergreen Junction",,Brooklyn,0005B,1
124,6,4,Dessert,"Chocolate Ice Cream",2023-01-05,13:05:50,"176 Evergreen Junction",,Brooklyn,0005B,1
125,6,7,Dessert,"Strawberry Ice Cream",2023-01-05,13:05:50,"176 Evergreen Junction",,Brooklyn,0005B,1
126,6,2,Dessert,"Pistachio Ice Crearn",2023-01-05,13:05:50,"176 Evergreen Junction",,Brooklyn,0005B,1
127,6,9,Beverage,"Coca Cola 1.5l",2023-01-05,10:39:24,"2018 Holmberg Point",,Bronx,0004B,0
128,15,6,Pizza,"Pizza Parmigiana Regular",2023-01-05,10:39:24,"2018 Holmberg Point",,Bronx,0004B,0
129,14,7,Pizza,"Pizza Margherita Large",2023-01-05,10:39:24,"2018 Holmberg Point",,Bronx,0004B,0
130,17,3,Pizza,"Pizza Seafood Regular",2023-01-05,19:29:13,"473 Colorado Junction",,"Staten Island",0010SI,0
131,15,4,Pizza,"Pizza Hawaiian Regular",2023-01-05,21:06:32,"730 Mallard Point",,"Staten Island",0010SI,1
132,19,6,Pizza,"Pizza Quattro Formaggi Large",2023-01-05,21:06:32,"730 Mallard Point",,"Staten Island",0010SI,1
133,3,6,Beverage,"Diet Coke 33cl",2023-01-05,12:21:48,"8085 Ridgeway Trail",,Brooklyn,0005B,1
134,3,2,Beverage,"7 Up 33cl",2023-01-05,12:21:48,"8085 Ridgeway Trail",,Brooklyn,0005B,1
135,15,2,Pizza,"Pizza Hawaiian Regular",2023-01-05,11:14:42,"980 Wayridge Way",,Queens,0007Q,0
136,16,1,Pizza,"Pizza Diavola Regular",2023-01-05,11:14:42,"980 Wayridge Way",,Queens,0007Q,0
137,14,7,Pizza,"Pizza Margherita Large",2023-01-05,11:14:42,"980 Wayridge Way",,Queens,0007Q,0
138,2,9,Beverage,"Sparkling Water 33cl",2023-01-05,21:45:29,"87526 3rd Place",,Brooklyn,0005B,1
139,6,1,Beverage,"Diet Coke 1.5l",2023-01-05,21:45:29,"87526 3rd Place",,Brooklyn,0005B,1
140,14,6,Pizza,"Pizza Margherita Large",2023-01-05,21:45:29,"87526 3rd Place",,Brooklyn,0005B,1
141,6,5,Beverage,"Diet Coke 1.5l",2023-01-05,13:43:45,"87050 Valley Edge Plaza",,Manhattan,0001M,0
142,16,9,Pizza,"Pizza Quattro Formaggi Regular",2023-01-05,13:43:45,"87050 Valley Edge Plaza",,Manhattan,0001M,0
143,6,6,Beverage,"Coca Cola 1.5l",2023-01-05,13:43:45,"87050 Valley Edge Plaza",,Manhattan,0001M,0
144,17,1,Pizza,"Pizza Pepperoni Large",2023-01-05,19:10:11,"3 Bay Junction","Suite 42","Staten Island",0010SI,1
145,7,4,Side,"Caesar Salad",2023-01-05,13:32:06,"30096 School Center",,Manhattan,0001M,1
146,17,5,Pizza,"Pizza Pepperoni Large",2023-01-05,11:20:33,"0 Arapahoe Pass",,Brooklyn,0005B,0
147,3,5,Beverage,"Fanta 33cl",2023-01-05,11:20:33,"0 Arapahoe Pass",,Brooklyn,0005B,0
148,19,2,Pizza,"Pizza Diavola Large",2023-01-05,20:50:34,"896 Duke Junction","8th Floor","Staten Island",0010SI,0
149,3,3,Beverage,"Fanta 33cl",2023-01-05,20:50:34,"896 Duke Junction","8th Floor","Staten Island",0010SI,0
150,7,2,Side,"Chicken Wings",2023-01-05,20:50:34,"896 Duke Junction","8th Floor","Staten Island",0010SI,0
151,6,8,Dessert,"Vanilla Ice Cream",2023-01-05,20:50:34,"896 Duke Junction","8th Floor","Staten Island",0010SI,0
152,7,1,Dessert,"Banoffee Pie",2023-01-05,20:50:34,"896 Duke Junction","8th Floor","Staten Island",0010SI,0
153,3,1,Beverage,"7 Up 33cl",2023-01-05,12:10:34,"1 Lakeland Pass",,Bronx,0004B,1
154,6,10,Beverage,"Coca Cola 1.5l",2023-01-05,12:10:34,"1 Lakeland Pass",,Bronx,0004B,1
155,6,3,Side,"Garlic Bread",2023-01-05,19:26:36,"259 Arrowood Avenue",,Manhattan,0001M,0
156,6,8,Dessert,"Chocolate Ice Cream",2023-01-05,19:26:36,"259 Arrowood Avenue",,Manhattan,0001M,0
157,3,1,Beverage,"Diet Coke 33cl",2023-01-05,19:26:36,"259 Arrowood Avenue",,Manhattan,0001M,0
158,15,2,Pizza,"Pizza Parmigiana Regular",2023-01-05,19:26:36,"259 Arrowood Avenue",,Manhattan,0001M,0
159,5,9,Dessert,"Chocolate Brownie",2023-01-06,18:44:30,"71961 Mendota Alley",,Manhattan,0001M,1
160,15,9,Pizza,"Pizza Hawaiian Regular",2023-01-06,18:44:30,"71961 Mendota Alley",,Manhattan,0001M,1
161,16,7,Pizza,"Pizza Quattro Formaggi Regular",2023-01-06,18:44:30,"71961 Mendota Alley",,Manhattan,0001M,1
162,3,1,Beverage,"Fanta 33cl",2023-01-06,18:44:30,"71961 Mendota Alley",,Manhattan,0001M,1
163,7,4,Side,"Caesar Salad",2023-01-06,18:44:30,"71961 Mendota Alley",,Manhattan,0001M,1
164,6,3,Dessert,"Strawberry Ice Cream",2023-01-06,20:54:42,"847 Blackbird Road",,Brooklyn,0005B,1
165,6,6,Beverage,"7 Up 1.5l",2023-01-06,20:54:42,"847 Blackbird Road",,Brooklyn,0005B,1
166,20,2,Pizza,"Pizza Seafood Large",2023-01-06,20:54:42,"847 Blackbird Road",,Brooklyn,0005B,1
167,6,7,Dessert,"Pistachio Ice Crearn",2023-01-06,20:54:42,"847 Blackbird Road",,Brooklyn,0005B,1
168,16,4,Pizza,"Pizza Diavola Regular",2023-01-06,11:16:16,"61054 Monument Crossing",,Manhattan,0001M,0
169,12,5,Pizza,"Pizza Margherita Regular",2023-01-06,11:16:16,"61054 Monument Crossing",,Manhattan,0001M,0
170,14,9,Pizza,"Pizza Margherita Large",2023-01-06,11:16:16,"61054 Monument Crossing",,Manhattan,0001M,0
171,2,10,Beverage,"Sparkling Water 33cl",2023-01-06,11:16:16,"61054 Monument Crossing",,Manhattan,0001M,0
172,5,10,Side,Breadsticks,2023-01-06,11:16:16,"61054 Monument Crossing",,Manhattan,0001M,0
173,19,7,Pizza,"Pizza Diavola Large",2023-01-06,11:16:16,"61054 Monument Crossing",,Manhattan,0001M,0
174,3,2,Beverage,"Diet Coke 33cl",2023-01-06,11:16:16,"61054 Monument Crossing",,Manhattan,0001M,0
175,18,6,Pizza,"Pizza Parmigiana Large",2023-01-06,12:40:49,"61054 Monument Crossing",,Manhattan,0001M,1
176,2,4,Beverage,"Sparkling Water 33cl",2023-01-06,12:40:49,"61054 Monument Crossing",,Manhattan,0001M,1
177,6,4,Beverage,"7 Up 1.5l",2023-01-06,18:32:49,"61054 Monument Crossing",,Manhattan,0001M,1
178,16,2,Pizza,"Pizza Quattro Formaggi Regular",2023-01-06,18:32:49,"61054 Monument Crossing",,Manhattan,0001M,1
179,7,7,Side,"Chicken Wings",2023-01-06,18:32:49,"61054 Monument Crossing",,Manhattan,0001M,1
180,6,1,Dessert,"Chocolate Ice Cream",2023-01-06,18:32:49,"61054 Monument Crossing",,Manhattan,0001M,1
181,17,8,Pizza,"Pizza Hawaiian Large",2023-01-06,18:32:49,"61054 Monument Crossing",,Manhattan,0001M,1
182,19,2,Pizza,"Pizza Diavola Large",2023-01-06,12:28:39,"1 Anhalt Circle",,Queens,0007Q,0
183,19,2,Pizza,"Pizza Quattro Formaggi Large",2023-01-06,12:28:39,"1 Anhalt Circle",,Queens,0007Q,0
184,3,1,Beverage,"Coca Cola 33cl",2023-01-06,12:28:39,"1 Anhalt Circle",,Queens,0007Q,0
185,5,6,Dessert,"Fruit salad",2023-01-06,22:18:19,"1668 Emmet Park",,Manhattan,0001M,0
186,6,9,Beverage,"7 Up 1.5l",2023-01-06,22:18:19,"1668 Emmet Park",,Manhattan,0001M,0
187,16,7,Pizza,"Pizza Quattro Formaggi Regular",2023-01-06,22:18:19,"1668 Emmet Park",,Manhattan,0001M,0
188,4,6,Beverage,"Sparkling Water 1.5l",2023-01-06,20:45:45,"1668 Emmet Park",,Manhattan,0001M,1
189,16,7,Pizza,"Pizza Napolitana Regular",2023-01-06,20:45:45,"1668 Emmet Park",,Manhattan,0001M,1
190,5,6,Dessert,"Fruit salad",2023-01-06,20:45:45,"1668 Emmet Park",,Manhattan,0001M,1
191,12,4,Pizza,"Pizza Margherita Regular",2023-01-06,20:41:16,"61054 Monument Crossing",,Manhattan,0001M,1
192,3,1,Beverage,"Coca Cola 33cl",2023-01-06,20:41:16,"61054 Monument Crossing",,Manhattan,0001M,1
193,3,4,Beverage,"Diet Coke 33cl",2023-01-06,19:47:51,"61054 Monument Crossing",,Manhattan,0001M,0
194,15,1,Pizza,"Pizza Pepperoni Regular",2023-01-06,10:58:20,"147 Arizona Plaza",,"Staten Island",0010SI,1
195,6,1,Dessert,"Pistachio Ice Crearn",2023-01-06,10:58:20,"147 Arizona Plaza",,"Staten Island",0010SI,1
196,6,5,Beverage,"Diet Coke 1.5l",2023-01-06,10:58:20,"147 Arizona Plaza",,"Staten Island",0010SI,1
197,3,7,Beverage,"Fanta 33cl",2023-01-06,22:01:09,"147 Arizona Plaza",,"Staten Island",0010SI,1
198,16,8,Pizza,"Pizza Diavola Regular",2023-01-06,22:01:09,"147 Arizona Plaza",,"Staten Island",0010SI,1
199,19,10,Pizza,"Pizza Quattro Formaggi Large",2023-01-06,22:01:09,"147 Arizona Plaza",,"Staten Island",0010SI,1
200,4,3,Beverage,"Sparkling Water 1.5l",2023-01-06,22:01:09,"147 Arizona Plaza",,"Staten Island",0010SI,1
201,17,4,Pizza,"Pizza Pepperoni Large",2023-01-06,12:01:12,"147 Arizona Plaza",,"Staten Island",0010SI,0
202,19,9,Pizza,"Pizza Diavola Large",2023-01-06,12:01:12,"147 Arizona Plaza",,"Staten Island",0010SI,0
203,16,10,Pizza,"Pizza Quattro Formaggi Regular",2023-01-06,12:01:12,"147 Arizona Plaza",,"Staten Island",0010SI,0
204,19,5,Pizza,"Pizza Quattro Formaggi Large",2023-01-06,19:09:51,"147 Arizona Plaza",,"Staten Island",0010SI,1
205,2,3,Beverage,"Sparkling Water 33cl",2023-01-06,19:09:51,"147 Arizona Plaza",,"Staten Island",0010SI,1
206,6,7,Beverage,"Diet Coke 1.5l",2023-01-06,19:09:51,"147 Arizona Plaza",,"Staten Island",0010SI,1
207,6,8,Side,"Garlic Bread",2023-01-06,18:53:37,"147 Arizona Plaza",,"Staten Island",0010SI,1
208,12,4,Pizza,"Pizza Margherita Regular",2023-01-06,18:53:37,"147 Arizona Plaza",,"Staten Island",0010SI,1
209,15,9,Pizza,"Pizza Pepperoni Regular",2023-01-06,18:53:37,"147 Arizona Plaza",,"Staten Island",0010SI,1
210,5,2,Dessert,"Fruit salad",2023-01-06,18:53:37,"147 Arizona Plaza",,"Staten Island",0010SI,1
211,6,9,Side,"Garlic Bread",2023-01-06,12:45:40,"147 Arizona Plaza",,"Staten Island",0010SI,0
212,6,9,Side,"Garlic Bread",2023-01-06,12:45:40,"147 Arizona Plaza",,"Staten Island",0010SI,0
213,3,2,Beverage,"Fanta 33cl",2023-01-06,12:45:40,"147 Arizona Plaza",,"Staten Island",0010SI,0
214,5,10,Side,Breadsticks,2023-01-06,12:49:23,"147 Arizona Plaza",,"Staten Island",0010SI,1
215,3,3,Beverage,"7 Up 33cl",2023-01-06,12:49:23,"147 Arizona Plaza",,"Staten Island",0010SI,1
216,3,1,Beverage,"Fanta 33cl",2023-01-06,12:49:23,"147 Arizona Plaza",,"Staten Island",0010SI,1
217,6,2,Beverage,"Diet Coke 1.5l",2023-01-06,12:49:23,"147 Arizona Plaza",,"Staten Island",0010SI,1
218,2,10,Beverage,"Sparkling Water 33cl",2023-01-06,22:33:58,"147 Arizona Plaza",,"Staten Island",0010SI,1
219,6,7,Dessert,"Strawberry Ice Cream",2023-01-06,22:33:58,"147 Arizona Plaza",,"Staten Island",0010SI,1
220,5,3,Dessert,"Chocolate Brownie",2023-01-06,22:33:58,"147 Arizona Plaza",,"Staten Island",0010SI,1
221,2,5,Beverage,"Sparkling Water 33cl",2023-01-06,12:46:05,"147 Arizona Plaza",,"Staten Island",0010SI,1
222,6,5,Dessert,"Strawberry Ice Cream",2023-01-06,12:46:05,"147 Arizona Plaza",,"Staten Island",0010SI,1
